"APT","campaign","vulnerability","exploited_time","published_time","reserved_time","product","version","update","os"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.2.202.359","*","windows"
"APT37","298781","CVE-2014-8439","2016-05-01","2014-11-01","2014-10-01","flash_player","11.2.202.359","*","windows"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.2.202.359","*","windows"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.2.202.359","*","windows"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.2.202.359","*","windows"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.9.900.170","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.9.900.170","*","*"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.2.202.394","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.2.202.394","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.2.202.394","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.2.202.394","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.2.202.394","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.2.202.394","*","windows_8.1"
"Threat Group-3390","298875","CVE-2015-5123","2015-08-01","2015-07-01","2015-06-01","flash_player","11.5.502.149","*","windows"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.5.502.149","*","windows"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.5.502.149","*","windows"
"BlackOasis","298794","CVE-2016-0984","2015-06-01","2016-02-01","2015-12-01","flash_player","11.5.502.149","*","windows"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.5.502.149","*","windows"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.5.502.149","*","windows"
