product,version,update,release_date,advisory
office,2016-*,3128047,2017-03,
office,2016-*,3128047,2017-03,
office,2016-*,3128012,2020-04,
office,2016-*,3128012,2020-04,
office,2016-*,3127897,2016-10,
office,2016-*,3127895,2017-04,
office,2016-*,3118299,2016-09,
office,2016-*,3118264,2016-10,
office,2016-*,3118264,2016-10,
office,2016-*,3118262,2016-10,
office,2016-*,3118262,2016-10,
office,2016-*,3118263,2016-10,
office,2016-*,3118263,2016-10,
office,2016-*,3115421,2016-08,
office,2016-*,3115421,2016-08,
office,2016-*,3115416,2016-08,
office,2016-*,3115416,2016-08,
office,2016-*,3115419,2016-08,
office,2016-*,3115419,2016-08,
office,2016-*,3115417,2016-08,
office,2016-*,3115417,2016-08,
office,2016-*,3115407,2016-08,
office,2016-*,3115407,2016-08,
office,2016-*,3115386,2016-07,
office,2016-*,3115281,2017-06,
office,2016-*,3115281,2017-06,
office,2016-*,3115276,2016-09,
office,2016-*,3115276,2016-09,
office,2016-*,3115267,2016-07,
office,2016-*,3115267,2016-07,
office,2016-*,3115189,2016-06,
office,2016-*,3115189,2016-06,
office,2016-*,3115135,2016-11,
office,2016-*,3115135,2016-11,
office,2016-*,3115137,2016-06,
office,2016-*,3115137,2016-06,
office,2016-*,3115134,2016-06,
office,2016-*,3115103,2016-05,
office,2016-*,3115103,2016-05,
office,2016-*,3115081,2016-06,
office,2016-*,3115081,2016-06,
office,2016-*,3115041,2018-01,
office,2016-*,3115041,2016-06,
office,2016-*,3114903,2016-04,
office,2016-*,3114903,2016-04,
office,2016-*,3114865,2016-03,
office,2016-*,3114865,2016-03,
office,2016-*,3114862,2016-06,
office,2016-*,3114862,2016-06,
office,2016-*,3114861,2016-03,
office,2016-*,3114861,2016-03,
office,2016-*,3114857,2016-03,
office,2016-*,3114857,2016-03,
office,2016-*,3114852,2019-09,
office,2016-*,3114852,2019-09,
office,2016-*,3114850,2016-03,
office,2016-*,3114850,2016-03,
office,2016-*,3114853,2018-09,
office,2016-*,3114853,2018-09,
office,2016-*,3114847,2016-03,
office,2016-*,3114847,2016-03,
office,2016-*,3114849,2016-03,
office,2016-*,3114849,2016-03,
office,2016-*,3114846,2016-03,
office,2016-*,3114846,2016-03,
office,2016-*,3114844,2016-03,
office,2016-*,3114844,2016-03,
office,2016-*,3114705,2016-03,
office,2016-*,3114705,2016-03,
office,2016-*,3114694,2016-04,
office,2016-*,3114694,2016-04,
office,2016-*,3114690,2016-03,
office,2016-*,3114528,2019-08,
office,2016-*,3114528,2019-08,
office,2016-*,3114523,2016-03,
office,2016-*,3114523,2016-03,
office,2016-*,3114514,2016-03,
office,2016-*,3114514,2016-03,
office,2016-*,3114511,2016-01,
office,2016-*,3114511,2016-01,
office,2016-*,3114512,2016-01,
office,2016-*,3114512,2016-01,
office,2016-*,3114389,2017-05,
office,2016-*,3114389,2017-05,
office,2016-*,3114375,2017-05,
office,2016-*,3114375,2017-05,
office,2016-*,3114369,2016-05,
office,2016-*,3114369,2016-05,
office,2016-*,3114368,2016-12,
office,2016-*,3114368,2016-12,
office,2016-*,3101352,2015-11,
office,2016-*,3101352,2015-11,
office,2016-*,3085538,2015-10,
office,2016-*,3085538,2015-10,
office,2016-*,2920727,2016-01,
office,2016-*,2920726,2015-11,
office,2016-*,2920726,2015-11,
office,2016-*,2920724,2015-12,
office,2016-*,2920724,2015-12,
office,2016-*,2920723,2017-10,
office,2016-*,2920723,2017-10,
office,2016-*,2920720,2016-04,
office,2016-*,2920720,2016-04,
office,2016-*,2920717,2019-05,
office,2016-*,2920717,2019-05,
office,2016-*,2920712,2015-12,
office,2016-*,2920712,2015-12,
office,2016-*,2920709,2020-01,
office,2016-*,2920709,2020-01,
office,2016-*,2920687,2016-07,
office,2016-*,2920687,2016-07,
office,2016-*,2920684,2018-03,
office,2016-*,2920684,2015-12,
office,2016-*,2920680,2015-11,
office,2016-*,2920680,2015-11,
office,2016-*,2920678,2016-03,
office,2016-*,2920678,2016-03,
